Prefix,Namespace
magmardl,http://www.semanticweb.org/magma-core/rdl#
magmauser,http://www.semanticweb.org/magma-core/user#
hqdm,http://www.semanticweb.org/hqdm#
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs,http://www.w3.org/2000/01/rdf-schema#
